H,i,g,h, ,F,r,e,q,u,e,n,c,y, ,I,n,f,o,r,m,a,t,i,o,n, ,f,o,r, ,A,l,l, ,F,i,l,e,s
mfr-all-electrodes,0.761448835,2.022222222,0.039305103,0.936656118,0.511272923,5.743159609,1.985268817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,1.009726444,2.752525253,0.298588491,1.213470006,0.94953479,6.265265028,3.395453149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.75,0.733333333,0.1,0.766666667,0.533333333,0.916666667,0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRI_CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,8_9_2014_contri Plate1,8_9_2014_contri Plate2,8_9_2014_contri Plate3,8_9_2014_contri Plate4,8_9_2014_contri Plate5,8_9_2014_contri Plate6,8_9_2014_contri Plate7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,0.771779141,1.970364416,1.540141612,2.112974684,1.238906926,8.333280423,2.485691824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,0.940841367,2.566265902,1.880752301,2.303509781,1.856331169,8.474522464,4.022097569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.816666667,0.766666667,0.816666667,0.916666667,0.666666667,0.983333333,0.616666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,07_30_2014_ace Plate1,07_30_2014_ace Plate2,07_30_2014_ace Plate3,07_30_2014_ace Plate4,07_30_2014_ace Plate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,3.706808279,7.335358255,6.203594771,4.442740286,3.120533769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,4.83105996,7.720008745,6.308740445,4.595832452,3.896922658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.766666667,0.95,0.983333333,0.966666667,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE_CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,07_30_2014_conace Plate1,07_30_2014_conace Plate2,07_30_2014_conace Plate3,07_30_2014_conace Plate4,07_30_2014_conace Plate5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,3.334694989,3.529030501,7.829738562,3.304793028,2.601579521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,4.344416027,3.713048962,7.962445995,3.41863872,3.389954533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.766666667,0.95,0.983333333,0.966666667,0.766666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,07_7_2014_h20 Plate1,07_7_2014_h20 Plate2,07_7_2014_h20 Plate3,07_7_2014_h20 Plate4,07_7_2014_h20 Plate5,07_7_2014_h20 Plate6,07_7_2014_h20 Plate7,07_7_2014_h20 Plate8,07_7_2014_h20 Plate9,07_7_2014_h20 Plate10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-all-electrodes,5.603420195,1.494871795,3.769745223,2.910119048,0.428978495,3.098705502,2.232650273,1.90751634,1.577505112,15.9868937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mfr-AE,6.719543974,2.888027295,4.186718566,4.844967532,0.725345622,4.22322742,2.848447855,3.083377495,2.54833361,16.257858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AE/60,0.833333333,0.516666667,0.9,0.6,0.583333333,0.733333333,0.783333333,0.616666667,0.616666667,0.983333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,H20_CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,08_05_2014_conh20 Plate1,08_05_2014_conh20 Plate2,08_05_2014_conh20 Plate3,08_05_2014_conh20 Plate4,08_05_2014_conh20 Plate5,08_05_2014_conh20 Plate6,08_05_2014_conh20 Plate7,08_05_2014_conh20 Plate8,08_05_2014_conh20 Plate9,08_05_2014_conh20 Plate10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
